accuracy,recall,precision,f1_score,vectorizer,model
0.7439379933157932,0.69581938233773,0.6930235138633335,0.6943031805979848,tfidf,Random Forest
0.74294247315651,0.6941004217749155,0.6920173315790862,0.6928488241328546,bow,Random Forest
0.7158501031074451,0.6877515255501919,0.6674037045877276,0.6705723785722424,tfidf,KNN
0.7152812344449975,0.6503768821649337,0.667964748589419,0.6578128719999247,bow,XGBoost
0.7147834743653559,0.6888616060395015,0.6657819535351656,0.6709900903336071,bow,KNN
0.7099480907345517,0.6743857250008661,0.6568679276165099,0.663536694456183,bow,Logistic Regression
0.7019128208774799,0.6738352863384968,0.6504265776103288,0.6576423855415537,bow,SGD
0.7009173007181967,0.6767392818684179,0.651025769734417,0.6583625780541202,tfidf,Logistic Regression
0.6852734125008889,0.6590330890961204,0.6414393331987059,0.643820053511203,tfidf,XGBoost
0.6805091374528905,0.6635126694428758,0.6348982058083508,0.6409092845404858,tfidf,SGD
