accuracy,recall,precision,f1_score,vectorizer,model
0.7391737182677949,0.7040751195887783,0.6868896002865136,0.6938442407901942,tfidf,Random Forest
0.7380359809428998,0.7033278002703822,0.6855020604982961,0.6926026612839705,bow,Random Forest
0.7290051909265448,0.6804835515795645,0.6786007449130399,0.679404568118556,bow,SGD
0.72751191068762,0.6826987023846516,0.6770361733669891,0.6780171132798881,bow,KNN
0.7260186304486952,0.6815572465317999,0.6756326580703346,0.6766586641914781,tfidf,KNN
0.721112138235085,0.6270507842290782,0.6966223620487001,0.6461666530189402,tfidf,XGBoost
0.718481120671265,0.6211811782505047,0.6931519667331486,0.6398238452835714,bow,XGBoost
0.7117969138875062,0.6620384969063736,0.6582616186810771,0.6599796192620281,tfidf,SGD
0.6982151745715708,0.6897496754418683,0.6561250573204825,0.6610519344588971,bow,Logistic Regression
0.6900376875488872,0.6869600296847332,0.6520214600591673,0.6547146847853486,tfidf,Logistic Regression
