accuracy,recall,precision,f1_score,vectorizer,model
0.6882599729787385,0.6809790584129902,0.6474535158736917,0.651963811073553,bow,SGD
0.6859133897461424,0.6853685248345768,0.6482848576360113,0.6527668269134173,tfidf,Random Forest
0.6858422811633365,0.6847379906553539,0.6484812483022709,0.6518175760088114,bow,Random Forest
0.6844201095072175,0.6817011129302856,0.6475419164642314,0.6489606030716973,tfidf,Logistic Regression
0.6784469885515182,0.6737819660569615,0.6404013540721021,0.6427040978513808,bow,Logistic Regression
0.6768114911469815,0.6764027610619379,0.6411864632671124,0.6430527525314184,tfidf,SGD
0.6625897745857925,0.6686584971330342,0.6339086362833954,0.6325887558975597,bow,XGBoost
0.6611676029296736,0.6653951409225043,0.6324725891131889,0.6311015108273766,tfidf,XGBoost
0.6101827490578112,0.6284638745552837,0.5974241305445205,0.5830542441432751,bow,KNN
0.5742729147408092,0.6066835490022817,0.5818572570897173,0.554636644203797,tfidf,KNN
