accuracy,recall,precision,f1_score,vectorizer,model
0.5563603654783885,0.46192255892155487,0.4724102789779302,0.46525388554300395,tfidf,Random Forest
0.5549401126733892,0.46042447482763754,0.47044221195319463,0.46367257793422645,bow,Random Forest
0.5473654310467263,0.40330729970306917,0.48651369433047087,0.3984978128959854,bow,SGD
0.5467026464043934,0.4095974141358766,0.48219452619151076,0.4084055334169324,tfidf,Logistic Regression
0.5467026464043934,0.4171529224806981,0.47246299638775435,0.4194095950209471,bow,Logistic Regression
0.5413530275055627,0.4052510305720154,0.5016809501928772,0.4078597329249365,tfidf,XGBoost
0.5375656866922313,0.3990233188923158,0.4925973938227194,0.3989659605746295,bow,XGBoost
0.5292335369029021,0.37648745571559294,0.4150800770384036,0.36490623955669377,tfidf,SGD
0.49330114093642,0.37121667931420077,0.42629007305056954,0.37261121511660844,bow,KNN
0.4741277280689296,0.3578340710399572,0.41304942379510423,0.3588754468606909,tfidf,KNN
