accuracy,recall,precision,f1_score,vectorizer,model
0.721076583943682,0.6308032147756358,0.6835478653954002,0.6447890578638716,tfidf,Logistic Regression
0.7522576975040888,0.6894985222141264,0.7091578600539842,0.697512443916715,tfidf,Random Forest
0.7169522861409372,0.6186216158674085,0.6905765611915814,0.6365289894665329,tfidf,XGBoost
0.7067837587996871,0.5833350663847919,0.6957701874966968,0.5932779678187051,tfidf,SGD
0.6315864324824007,0.5668570045756364,0.5671052109330953,0.5668847712108115,tfidf,KNN
0.7273696935220081,0.6445860304596224,0.6810443764773645,0.6560953573404599,bow,Logistic Regression
0.7533954348289839,0.6910054646941323,0.7095454206807329,0.6986840472317515,bow,Random Forest
0.7131124226694162,0.614823131814998,0.6858841713912804,0.6326257794759641,bow,XGBoost
0.724952001706606,0.6294402664791571,0.6849053890590442,0.6429594472024142,bow,SGD
0.646590343454455,0.5840761043741026,0.5902095696146595,0.582609057432392,bow,KNN
